lon,lat,accum,n_obs
-71.60972950542433,-30.63941149738752,-188.41822412599535,34.0
-71.61004225542447,-30.63940521513439,-201.8055649199503,34.0
-71.61004952128013,-30.639675645096567,-139.0931776440373,34.0
-71.61005678723409,-30.639946075045916,-166.69377089674842,34.0
-71.61035500532631,-30.63939893213011,-157.25668364438516,34.0
-71.61036227205017,-30.639669362025007,-191.68356090282958,34.0
-71.61036953887236,-30.639939791907064,-147.8960785778159,34.0
-71.6103768057929,-30.64021022177631,-170.97684637523213,34.0
-71.61038407281177,-30.640480651632743,-161.45156788762037,34.0
-71.61066775512981,-30.639392648374688,-154.82693928757158,34.0
-71.61067502272189,-30.639663078202293,-100.692051205216,34.0
-71.61068229041233,-30.63993350801706,-177.9394787172971,34.0
-71.6106895582011,-30.64020393781902,-172.10851237990602,34.0
-71.61069682608823,-30.64047436760816,-194.5848648028716,34.0
-71.61070409407371,-30.64074479738448,-202.00029233186288,34.0
-71.61071136215753,-30.641015227147985,-194.83908199809306,34.0
-71.6107186303397,-30.641285656898667,-186.11149942489246,34.0
-71.61072589862025,-30.641556086636538,-217.18305524349924,34.0
-71.61073316699913,-30.641826516361583,-108.82537579641152,34.0
-71.61071846200123,-30.652920411171078,-162.48307105002755,35.0
-71.61072573364319,-30.65319084042498,-136.56444916801354,35.0
-71.61073300538355,-30.653461269666057,-163.4399401320875,35.0
-71.6107402772223,-30.65373169889432,-174.71255523709647,35.0
-71.61098050483496,-30.63938636386812,-124.60061594866107,34.0
-71.61098777329526,-30.639656793628426,-101.9004506945528,34.0
-71.61099504185393,-30.639927223375896,-158.56074364796066,34.0
-71.61100231051095,-30.640197653110555,-144.94471491089814,34.0
-71.61100957926634,-30.640468082832395,-188.81636715257787,34.0
-71.61101684812007,-30.64073851254141,-103.0995296791465,34.0
-71.61102411707219,-30.64100894223762,-186.91863173422553,34.0
-71.61103138612266,-30.641279371921,-136.22157345735,34.0
-71.6110386552715,-30.64154980159157,-175.67704729920268,34.0
-71.6110459245187,-30.641820231249312,-137.310364925669,34.0
-71.61100216617115,-30.651832407176094,-177.11057569531548,34.0
-71.61100943828833,-30.65210283641398,-131.06969377945566,34.0
-71.61101671050392,-30.65237326563904,-117.09502253826389,34.0
-71.6110239828179,-30.65264369485127,-101.72625967656121,34.0
-71.61103125523029,-30.65291412405069,-128.27958374965777,34.0
-71.61103852774106,-30.65318455323728,-162.49636453909082,35.0
-71.61104580035024,-30.65345498241105,-163.96576547856807,35.0
-71.61129325444175,-30.639380078610404,-136.93597015167703,34.0
-71.61130052377028,-30.6396505083034,-172.12988526079093,34.0
-71.61130779319717,-30.639920937983568,-157.61784695041044,34.0
-71.61131506272244,-30.640191367650917,-125.66080725874605,34.0
-71.61105319386428,-30.64209066089424,-148.71973170797918,34.0
-71.6110604633082,-30.642361090526347,-140.26442593056794,34.0
-71.61129313745931,-30.651014831984803,-105.93586255889679,34.0
-71.61130041015004,-30.65128526119384,-123.8231285882909,34.0
-71.61130768293914,-30.65155569039004,-130.6563774038904,34.0
-71.61131495582669,-30.651826119573425,-186.66657658224892,34.0
-71.61105307305785,-30.653725411572,-160.18179554460627,35.0
-71.61106034586382,-30.65399584072012,-109.25478823393719,35.0
-71.61106761876823,-30.654266269855427,-136.709621690512,35.0
-71.61132233234609,-30.64046179730545,-135.75548997107876,34.0
-71.6113296020681,-30.64073222694716,-172.8904177975096,34.0
-71.61133687188848,-30.641002656576056,-113.59713916208904,34.0
-71.61134414180725,-30.641273086192133,-166.13398011480322,34.0
-71.61135141182439,-30.64154351579539,-111.49812163973948,34.0
-71.6113586819399,-30.64181394538583,-201.94163977222502,34.0
-71.6113659521538,-30.64208437496345,-171.34090589054696,34.0
-71.61137322246609,-30.64235480452824,-144.40888520287265,34.0
-71.61138049287673,-30.642625234080224,-145.99191993931487,34.0
-71.61138776338578,-30.64289566361937,-132.43333934130226,34.0
-71.61132222881263,-30.652096548743987,-174.18585226394336,34.0
-71.61132950189699,-30.65236697790173,-149.80583599722317,34.0
-71.61133677507975,-30.65263740704665,-135.29814641455368,34.0
-71.61134404836092,-30.65290783617875,-170.41464105629137,34.0
-71.61135132174051,-30.65317826529802,-147.03791413570625,34.0
-71.61135859521853,-30.65344869440448,-153.29877620366938,34.0
-71.61136586879495,-30.653719123498107,-160.81088559865228,34.0
-71.61137314246979,-30.653989552578917,-158.35859061454462,34.0
-71.61138041624304,-30.6542599816469,-107.6568268368957,34.0
-71.61160600395017,-30.63937379260154,-182.00139894973609,34.0
-71.61161327414692,-30.639644222227226,-137.27530601626214,34.0
-71.61162054444205,-30.63991465184008,-124.04312577985311,34.0
-71.61162781483557,-30.64018508144011,-169.9669080088562,34.0
-71.61163508532746,-30.64045551102733,-91.61948043651346,34.0
-71.61164235591775,-30.64072594060172,-215.46957890565182,34.0
-71.61164962660641,-30.640996370163307,-145.69428634760246,34.0
-71.61165689739346,-30.641266799712064,-133.77928241297755,34.0
-71.6116641682789,-30.641537229248005,-143.82411806888663,34.0
-71.61167143926274,-30.641807658771125,-126.75174997792156,34.0
-71.61167871034496,-30.642078088281423,-182.67654495263753,34.0
-71.61168598152557,-30.642348517778903,-115.90635947766535,34.0
-71.61169325280459,-30.642618947263568,-114.19458735656391,34.0
-71.61170052418198,-30.6428893767354,-140.70800819829395,34.0
-71.61170779565776,-30.64315980619442,-171.85245330091857,34.0
-71.61171506723197,-30.64343023564062,-151.96799730401617,34.0
-71.61172233890456,-30.643700665074004,-222.06235489174907,34.0
-71.61159137758658,-30.65046768551069,-148.76696809169394,34.0
-71.61159865094919,-30.650738114678056,-184.07609175167903,34.0
-71.61160592441021,-30.65100854383258,-175.1408904888264,34.0
-71.61161319796966,-30.651278972974293,-64.57558575285783,34.0
-71.61162047162753,-30.65154940210317,-67.9895395875472,34.0
-71.61162774538381,-30.651819831219232,-170.2659062227685,34.0
-71.61163501923852,-30.652090260322478,-136.9976698908154,34.0
-71.61164229319164,-30.65236068941289,-173.92983314800955,34.0
-71.61164956724319,-30.652631118490486,-125.95834434236139,34.0
-71.61165684139317,-30.652901547555263,-122.23394257633657,34.0
-71.61166411564156,-30.65317197660721,-183.87906810543873,34.0
-71.6116713899884,-30.65344240564634,-90.98572231763528,34.0
-71.61167866443364,-30.65371283467265,-126.39276856707947,34.0
-71.61168593897733,-30.65398326368613,-93.04338303488834,34.0
-71.61169321361943,-30.65425369268679,-104.50309230874272,34.0
-71.61191875336021,-30.63936750584153,-133.8987506796591,34.0
-71.61192602442519,-30.639637935399897,-159.9598755156659,34.0
-71.61193329558854,-30.639908364945427,-72.95326310426371,34.0
-71.61194056685031,-30.64017879447814,-115.04682636587545,34.0
-71.61194783821045,-30.640449223998036,-186.16539881540052,34.0
-71.61195510966901,-30.640719653505094,-168.20420813846303,34.0
-71.61196238122595,-30.64099008299936,-162.30616724689548,34.0
